,Unnamed: 0,unique_trajectory_id,condition,VPCode,landmark_rotation,respx,respz,targetx,targetz,trajectory_id,target,jitterx,jitterz,startx,startz,belief_respx,belief_respz,endidx,task_finished,target_loc
254,254,254,combined,sub16,-0.0,-2.2514672208976143,0.510852001659496,-2.1104984444124772,0.4102393400595713,3-5-8,-2.11-0.41,-0.1118663020431927,-0.0525453721757609,-0.0464580128895863,0.010897783646478199,-2.314796559700527,0.1315895948790525,116,True,-1.999
257,257,257,combined,sub07,-0.0,-1.5052961206684947,1.2101935948857747,-1.8031417210826617,1.1709739252823081,1-7-8,-1.8-1.17,0.039703192630869,0.0249859214633338,-0.0777942647410084,0.0853113721717983,-1.701876268216051,0.4483544485479168,116,True,-1.843
258,258,258,combined,sub01,-0.0,1.787548762420351,1.0259576922605234,1.8031417210826617,1.1709739252823081,0-4-8,1.8-1.17,-0.1378052657388573,0.1356953898607454,0.0609874292981996,0.042840381014012885,1.5538441951653188,0.7934556788975364,141,True,1.941
264,264,264,combined,sub13,-0.0,-2.0722887521647624,0.6611647025468907,-2.1104984444124772,0.4102393400595713,3-4-8,-2.11-0.41,-0.1235491808661754,0.1916069383590131,-0.0196297747754275,0.05482889954756076,-2.2721370628675803,0.005457196575113,156,True,-1.987
265,265,265,combined,sub12,-0.0,1.8362109773718105,1.4918366543718578,1.8031417210826621,1.1709739252823081,0-6-8,1.8-1.17,0.024404175069766,0.004777116102461,0.0377014431644337,0.07128446967873991,2.0617878154998937,0.5408401174512809,141,True,1.779
269,269,269,combined,sub10,-0.0,2.047339611414772,0.6882977661843771,1.8031417210826617,1.1709739252823081,0-5-8,1.8-1.17,0.0057788147216155,-0.1032503512477,-0.0667314989034781,-0.01811034435511094,1.987333429224532,-0.0340566424409881,158,True,1.797
281,281,281,combined,sub18,-0.0,-1.913718690111416,0.9068978210947305,-1.8031417210826617,1.1709739252823081,1-4-8,-1.8-1.17,0.1147996541900247,0.005777173688706,-0.002728484155459,0.07850929105098925,-2.0382653476183363,0.3781125748548091,142,True,-1.918
289,289,289,combined,sub14,-0.0,2.1569001759817668,0.6029987289360106,1.803141721082662,1.1709739252823081,0-6-8,1.8-1.17,0.0238606116211646,-0.1818468065348785,0.0632875652467204,-0.09385547331992439,1.898666093584426,0.0227370214317956,122,True,1.779
293,293,293,combined,sub09,-0.0,2.3063721178650165,0.6372747897715985,2.1104984444124772,0.4102393400595713,2-6-8,2.11-0.41,0.1932517980313398,0.0310102376395499,0.0081560367560952,-0.026776980618920088,2.241899129642168,-0.2574363539304808,136,True,1.917
299,299,299,combined,sub18,-0.0,2.075327278675262,-0.39357279853653493,2.1104984444124772,0.41023934005957124,2-5-8,2.11-0.41,0.0013030656455551,-0.1637581579743292,-0.0418895502123082,0.011187571578477717,2.2194581620281983,-1.1396543505211398,156,True,2.109
300,300,300,combined,sub11,-0.0,1.8556433892017592,0.6921195814032173,1.8031417210826615,1.1709739252823081,0-4-8,1.8-1.17,0.0996150208824,0.0641885814476814,-0.0234985169648259,0.10771076093389753,1.8712414059793632,0.2674641062911422,128,True,1.704
301,301,301,combined,sub07,-0.0,1.7438037240565492,0.825164788753154,1.8031417210826617,1.1709739252823081,0-4-8,1.8-1.17,-0.1340240641604141,-0.0703236110528959,0.0517958876230869,0.09068086858263569,1.8236161401151352,0.1865828248620446,137,True,1.937
302,302,302,combined,sub11,-0.0,-1.765289096603622,0.7549111438227522,-2.1104984444124772,0.4102393400595714,3-6-8,-2.11-0.41,0.0561142176953254,0.0955811777586381,0.0049469745004765,0.05939335709670801,-1.926019153031673,0.2982012501062596,162,True,-2.167
309,309,309,combined,sub16,-0.0,1.604238588627952,0.8786251200259678,1.803141721082662,1.1709739252823081,0-4-8,1.8-1.17,0.0021768743134575,-0.2278126944199836,-0.0024299762794164,0.02419281114775318,1.6129674738609785,0.5965683210926757,136,True,1.801
316,316,316,combined,sub01,-0.0,1.739465740017549,1.0172523510987426,1.8031417210826615,1.1709739252823081,0-7-8,1.8-1.17,-0.0422808923125134,-0.0186760542904033,-0.0251969575310357,0.04567159761179185,1.6153146421356268,0.1947900482491196,141,True,1.845
321,321,321,combined,sub04,-0.0,-1.448827590890846,0.6798786976210123,-1.8031417210826617,1.1709739252823081,1-5-8,-1.8-1.17,-0.1110971042190148,0.0232450470057469,-0.0392738719380182,0.10036638867581171,-1.798799390708837,-0.1338947296301046,131,True,-1.692
322,322,322,combined,sub07,-0.0,-2.088551197289612,0.5185647390460919,-2.1104984444124777,0.41023934005957124,3-5-8,-2.11-0.41,-0.023107366549742,-0.0118787183925028,-0.0158093113265261,0.013281470157018083,-2.265666829535719,-0.3074714319023343,136,True,-2.087
323,323,323,combined,sub02,-0.0,2.0961918433110784,-0.28646944337231983,2.1104984444124772,0.4102393400595714,2-4-8,2.11-0.41,0.0991858333025573,0.0536667129637661,0.0010805622608055,0.06008995156203478,1.8708604855968811,-0.3167467544251948,136,True,2.011
324,324,324,combined,sub16,-0.0,1.6876761817047032,0.4035473173123245,1.8031417210826621,1.1709739252823081,0-7-8,1.8-1.17,0.1406013953073939,0.0021152386908578,-0.0891515547468923,-0.0415187165781149,1.7429628401893529,0.3120156100607156,141,True,1.663
328,328,328,combined,sub05,-0.0,-1.9337369684276693,1.2172852593746075,-2.1104984444124772,0.4102393400595714,3-4-8,-2.11-0.41,-0.0294970266853174,0.088696267962296,0.0642764143728889,0.02670142337231174,-1.6943353708185214,0.2326828803495352,154,True,-2.081
331,331,331,combined,sub18,-0.0,-1.936732713673172,0.2857050663199134,-2.1104984444124772,0.4102393400595714,3-7-8,-2.11-0.41,-0.0371334793043688,0.0794884220687023,-0.0508156869180982,-0.03524550570182439,-1.92227386619047,-0.1674960995964616,128,True,-2.073
336,336,336,combined,sub06,-0.0,-2.2480701287856584,0.3482799064820129,-2.110498444412477,0.4102393400595713,3-4-8,-2.11-0.41,0.0464376162522943,0.1275004616417845,0.0106419064402188,-0.07917852691097571,-1.97311854290384,-0.1733893534923113,160,True,-2.157
338,338,338,combined,sub14,-0.0,2.098872995095169,1.0155751429316708,2.1104984444124772,0.4102393400595713,2-4-8,2.11-0.41,0.0907478832925776,-0.0310267677725922,0.1195144254556241,0.023918374767761597,2.046255393104989,0.2944606520723958,121,True,2.02
